,,,,,,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011
AMC Name,Scheme Name,Asset Type,Asset,Instrument Name,Industry,Holding %,Holding %,Holding %,Holding %,Holding %,Holding %,Holding %,Holding %,Holding %,Holding %,Holding %,Holding %,Holding %
Axis MF,Axis Bluechip Fund(G)-Direct Plan,Equity,Domestic Equities,Mahindra & Mahindra Ltd.,Automobiles - Passenger Cars,0.7442,,,,,,,,,,,,
Axis MF,Axis Bluechip Fund(G)-Direct Plan,Equity,Domestic Equities,Maruti Suzuki India Ltd.,Automobiles - Passenger Cars,1.8418,2.9368,3.2455,2.1256,1.2400,1.7590,1.6828,1.2093,2.2389,3.0602,3.0043,2.9311,2.7896
Axis MF,Axis Bluechip Fund(G)-Direct Plan,Equity,Domestic Equities,Motherson Sumi Systems Ltd.,Auto Ancillary,,,,,,,,,,,,,0.4258
Axis MF,Axis Bluechip Fund(G)-Direct Plan,Equity,Domestic Equities,Nestle India Ltd.,Consumer Food,3.0818,3.2778,3.4249,3.6031,4.5947,4.4682,4.3773,4.5413,4.0413,3.9104,3.8898,3.5753,3.2755
Axis MF,Axis Bluechip Fund(G)-Direct Plan,Equity,Domestic Equities,Pidilite Industries Ltd.,Chemicals ,0.7559,0.5976,1.0487,1.1645,1.3320,1.4049,1.3212,2.2109,1.9064,2.1757,2.1593,2.4050,2.0562
Axis MF,Axis Bluechip Fund(G)-Direct Plan,Equity,Domestic Equities,Reliance Industries Ltd.,Refineries,7.6893,4.9668,3.2497,2.3036,2.0357,3.7985,4.8200,6.1605,7.9341,7.5961,8.3319,6.8772,5.6914
Axis MF,Axis Bluechip Fund(G)-Direct Plan,Equity,Domestic Equities,SBI Cards And Payment Services Ltd.,Finance - NBFC,,,,,0.1715,,,,,,,,
Axis MF,Axis Bluechip Fund(G)-Direct Plan,Equity,Domestic Equities,Shree Cement Ltd.,Cement & Construction Materials,,,,,,,,,0.6559,1.1980,1.1195,1.2212,1.2936
Axis MF,Axis Bluechip Fund(G)-Direct Plan,Equity,Domestic Equities,Tata Consultancy Services Ltd.,IT - Software ,3.0535,3.5262,2.8153,2.3006,3.2212,5.2116,5.2197,5.3479,6.5818,5.9516,7.2301,7.2586,6.5159
Axis MF,Axis Bluechip Fund(G)-Direct Plan,Equity,Domestic Equities,Tata Consumer Products Ltd.,Consumer Food,,,,,,,,,,,,0.4259,0.4416
Axis MF,Axis Bluechip Fund(G)-Direct Plan,Equity,Domestic Equities,Tata Steel Ltd.,Steel & Iron Products,,,,,,,,,,,,,0.1128
Axis MF,Axis Bluechip Fund(G)-Direct Plan,Equity,Domestic Equities,Tech Mahindra Ltd.,IT - Software ,0.9869,1.0130,1.0787,1.0073,0.8227,,,,,,,,
Axis MF,Axis Bluechip Fund(G)-Direct Plan,Equity,Domestic Equities,Titan Company Ltd.,Diamond  &  Jewellery,0.7828,1.1108,1.3135,1.6445,2.1819,1.7773,1.4852,1.7045,1.2481,1.2493,1.2173,1.2029,1.1498
Axis MF,Axis Bluechip Fund(G)-Direct Plan,Equity,Domestic Equities,Torrent Pharmaceuticals Ltd.,Pharmaceuticals & Drugs,,,,,,1.1711,1.2791,1.3394,1.2763,1.5718,1.6051,1.3478,0.9832
Axis MF,Axis Bluechip Fund(G)-Direct Plan,Equity,Domestic Equities,Ultratech Cement Ltd.,Cement & Construction Materials,0.9209,0.9588,1.7541,1.8200,2.0063,2.0705,1.0210,0.9116,0.9866,0.9827,0.9895,1.0557,1.2427
Axis MF,Axis Bluechip Fund(G)-Direct Plan,Equity,Domestic Equities,Wipro Ltd.,IT - Software ,,,,,,,,,,0.5558,1.1602,1.5653,1.4376
Axis MF,Axis Bluechip Fund(G)-Direct Plan,Others,Cash & Cash Equivalents and Net Assets,Clearing Corporation Of India Ltd.,Finance - Investment,18.0298,17.8116,12.7842,18.6528,20.5071,15.9703,19.0435,11.5833,6.9931,3.3443,4.3945,2.2296,3.4183
Axis MF,Axis Bluechip Fund(G)-Direct Plan,Others,Cash & Cash Equivalents and Net Assets,Net Current Asset,Other,-2.9243,-1.9483,-2.9830,-0.7385,-1.2691,-5.3394,-4.6449,0.0195,0.6077,-0.2798,-0.3727,-0.3173,-3.0188
